,Episode,Timestep,Policy_Loss,Critic_Loss,Reward,RM_Reward,Ref_Reward
0,0,8,-0.10623865390443825,6.068371295928955,-5.764011383056641,-4.695112705230713,-1.0688984394073486
1,0,16,-0.10151555714546703,2.239170789718628,-5.180014133453369,-4.845817565917969,-0.33419668674468994
2,0,24,-0.08901275677708327,1.3183277606964112,-6.01944637298584,-5.571985244750977,-0.4474616050720215
3,0,32,-0.07719817941106158,0.9640241384506225,-5.2642669677734375,-4.87868595123291,-0.3855806887149811
4,1,40,-0.06570860318361156,0.8429953932762146,-5.586031436920166,-4.904964923858643,-0.6810663938522339
5,1,48,-0.07885158497447264,1.9667367696762086,-4.8736443519592285,-4.205591201782227,-0.6680530309677124
6,1,56,-0.05569461686718569,1.8908408880233765,-4.362289905548096,-3.930912971496582,-0.43137696385383606
7,1,64,-0.05029063954734738,0.8023685932159423,-5.66717529296875,-5.250285625457764,-0.41688987612724304
8,2,72,-0.02078495497789845,0.39587992429733276,-6.1011505126953125,-5.667784690856934,-0.43336552381515503
9,2,80,-0.02810384577937839,0.439828085899353,-5.64959192276001,-5.142531394958496,-0.5070610642433167
10,2,88,-0.024802010193889147,0.7572619080543518,-3.27647066116333,-2.742327928543091,-0.5341424942016602
11,2,96,-0.017575476185993467,0.47699828147888185,-2.4606447219848633,-2.0613205432891846,-0.39932435750961304
12,3,104,-0.023345491033461487,0.43736587166786195,-2.418609142303467,-1.9489132165908813,-0.4696958065032959
13,3,112,-0.016896317579903553,0.5399059653282166,-2.508971929550171,-1.9288685321807861,-0.5801034569740295
14,3,120,-0.012820304637489243,0.2610190689563751,-2.196885347366333,-1.636252760887146,-0.5606327056884766
15,3,128,-0.009838464849008233,0.2072223097085953,-2.2546699047088623,-1.844071388244629,-0.4105985462665558
16,4,136,-0.007313284993015401,0.10127305686473846,-2.0849850177764893,-1.5729992389678955,-0.5119856595993042
17,4,144,-0.0029598758755128075,0.2629187345504761,-2.3035688400268555,-1.7537522315979004,-0.5498167276382446
18,4,152,-0.0020921956273696196,0.2487250328063965,-2.906229019165039,-2.200953960418701,-0.7052749395370483
19,4,160,-0.003337613891017099,0.1106930434703827,-2.332016706466675,-2.01697039604187,-0.31504637002944946
20,5,168,-0.00122840778964175,0.10059298872947693,-2.648789882659912,-2.1450843811035156,-0.5037056803703308
21,5,176,-5.940596242481888e-07,0.1035369411110878,-2.8330836296081543,-2.0514049530029297,-0.7816785573959351
22,5,184,5.5683493549452126e-08,0.14069624245166779,-1.9456084966659546,-1.5673186779022217,-0.37828969955444336
23,5,192,1.3202279660617933e-07,0.14507219791412354,-2.1260197162628174,-1.6238168478012085,-0.5022028684616089
24,6,200,4.034776051042854e-08,0.10411638170480728,-2.4136743545532227,-1.7137531042099,-0.6999212503433228
25,6,208,4.7095028321564314e-07,0.08054051101207733,-3.0216050148010254,-2.28983998298645,-0.7317646741867065
26,6,216,2.931904172776001e-08,0.08488899916410446,-1.9999628067016602,-1.6094211339950562,-0.3905417323112488
27,6,224,1.1822831922359e-07,0.11850646883249283,-2.9616971015930176,-2.434899091720581,-0.5267977714538574
28,7,232,9.009178667973571e-07,0.1524387091398239,-2.2508370876312256,-1.655165195465088,-0.5956718921661377
29,7,240,1.3247285153283882e-07,0.18700652420520783,-2.689962387084961,-2.0330424308776855,-0.6569201350212097
30,7,248,-1.920081249551231e-07,0.15105288624763488,-2.4707562923431396,-2.2079715728759766,-0.262784868478775
31,7,256,1.1498200436221851e-08,0.10924697667360306,-1.7150827646255493,-1.3823539018630981,-0.33272892236709595
32,8,264,3.144547662259356e-08,0.1497938185930252,-2.6322860717773438,-2.2240774631500244,-0.40820837020874023
33,8,272,5.639668856360913e-08,0.08851280361413956,-2.449843645095825,-2.0310981273651123,-0.4187454879283905
