,Episode,Timestep,Policy_Loss,Critic_Loss,RM_Score,Ref_KL
0,1,8,-0.053558269692484825,0.16047968864440917,-5.356357097625732,0.0
1,1,16,-0.09488838374618354,0.16832028329372406,-5.118011474609375,-0.015275540761649609
2,1,24,-0.07169594954466448,0.14752059578895568,-5.373099327087402,-0.01690427027642727
3,1,32,-0.09856255638915172,0.26095027923583985,-6.29672384262085,-0.03733246773481369
4,1,40,-0.0837156584024342,0.14615903794765472,-5.2789506912231445,-0.01982794515788555
5,1,48,-0.09203768731531455,0.20275548994541168,-5.958728790283203,-0.045657191425561905
6,1,56,-0.08628443814377533,0.17513148486614227,-6.235463619232178,-0.05574267730116844
7,1,64,-0.08716330213101173,0.15251063406467438,-6.442678928375244,-0.06932719051837921
8,1,72,-0.09049510683253174,0.16225628256797792,-6.241673469543457,-0.08996888250112534
9,1,80,-0.10235170769965407,0.18388958275318146,-6.145096302032471,-0.08973131328821182
10,1,88,-0.08892788968296372,0.2709359288215637,-6.133557319641113,-0.12025879323482513
11,1,96,-0.09638672812288859,0.40378273725509645,-5.192224502563477,-0.16472510993480682
12,1,104,-0.0925250559872893,0.3710805892944336,-4.6990966796875,-0.1627960056066513
13,1,112,-0.0977212849550142,0.48897080421447753,-4.067861080169678,-0.2705008387565613
14,1,120,-0.08456959215400275,0.3150643348693848,-5.124607563018799,-0.2289915233850479
15,1,128,-0.07850670009866008,0.31639114022254944,-5.258707046508789,-0.17408983409404755
16,1,136,-0.07756196563350386,0.2586829662322998,-4.801091194152832,-0.22525650262832642
17,1,144,-0.0883992422153824,0.2058281421661377,-4.8878560066223145,-0.17160870134830475
18,1,152,-0.07523797372559785,0.17486276626586914,-4.777257442474365,-0.1427321583032608
19,2,160,-0.04679203241612413,0.218397855758667,-4.680249214172363,-0.20358797907829285
20,2,168,-0.00483517774973734,0.07913843095302582,-4.0568695068359375,-0.09692245721817017
21,2,176,-0.04419696045961245,0.1436394900083542,-3.718447685241699,-0.084421806037426
22,2,184,-0.04016593767046288,0.194128879904747,-2.6106252670288086,-0.13656915724277496
23,2,192,-0.03127575862818048,0.08888815343379974,-3.4891600608825684,-0.10149084776639938
24,2,200,-0.03904607867189043,0.08580308705568314,-3.3406498432159424,-0.1023254320025444
25,2,208,-0.023813674077246105,0.11645488739013672,-2.461540460586548,-0.09659131616353989
26,2,216,-0.03632307994721486,0.04256094470620155,-2.9240872859954834,-0.07503526657819748
27,2,224,-0.04385591642712825,0.10895103812217713,-2.5164148807525635,-0.07208140194416046
28,2,232,-0.0175642810942918,0.13928058743476868,-1.9763020277023315,-0.06452586501836777
29,2,240,-0.04427147829082969,0.10890528708696365,-3.4150123596191406,-0.07765122503042221
30,2,248,-0.032713415940816046,0.09711551070213317,-2.4785258769989014,-0.09559378027915955
31,2,256,0.002180719561147271,0.03939940631389618,-2.8854146003723145,-0.1070304811000824
32,2,264,-0.020012261433112143,0.062464508414268496,-1.9814022779464722,-0.09108027070760727
33,2,272,-0.022188572918821592,0.07719227224588394,-2.445082187652588,-0.10714111477136612
34,2,280,-0.026398423438286044,0.12213893383741378,-2.8170228004455566,-0.12757140398025513
35,2,288,-0.015655808032238382,0.04592834636569023,-2.2577764987945557,-0.08652818202972412
36,2,296,-0.02973201801930827,0.09592791646718979,-2.533623695373535,-0.0748240277171135
37,2,304,-0.013853867878424353,0.04609440639615059,-2.00607967376709,-0.06132202222943306
38,2,312,-0.027951569984452362,0.03196538537740708,-2.1371195316314697,-0.0653657466173172
39,3,320,-0.032312997668259416,0.0820793241262436,-1.4823634624481201,-0.09393027424812317
40,3,328,-0.06165501953846615,0.08192517161369324,-2.75931978225708,-0.13765601813793182
41,3,336,-0.05455194830901746,0.07208741158246994,-2.352552890777588,-0.06459151208400726
42,3,344,-0.019211030029509857,0.051699763536453246,-2.746776580810547,-0.055668529123067856
43,3,352,-0.022045545299442894,0.049910908192396165,-3.072232484817505,-0.060057301074266434
44,3,360,-0.014832857373812658,0.02286495752632618,-1.2567813396453857,-0.05202532559633255
45,3,368,-0.024767689080181298,0.023715614154934884,-2.3102266788482666,-0.055438343435525894
46,3,376,-0.0140349238859244,0.023592334240674973,-1.7593040466308594,-0.05492246150970459
47,3,384,-0.010107430882453628,0.012247194349765778,-2.133725881576538,-0.04375600442290306
48,3,392,-0.012109475557645055,0.020178889855742455,-1.5431267023086548,-0.05264221131801605
49,3,400,-0.010882470114574971,0.00851807203143835,-2.144726514816284,-0.032660674303770065
50,3,408,-0.006527205097745537,0.014154334738850593,-2.2167625427246094,-0.03478410094976425
51,3,416,-0.011706992897870805,0.009719855338335037,-2.303311586380005,-0.04966757819056511
52,3,424,-0.010479028006176349,0.009995442815124989,-2.159630537033081,-0.03712085634469986
53,3,432,-0.015954217163834983,0.04307092428207397,-1.5218474864959717,-0.05716145783662796
54,3,440,-0.00791233683196424,0.020640690997242927,-2.460636854171753,-0.04450571909546852
55,3,448,-0.009571008828970662,0.024036968126893044,-2.589038372039795,-0.048548657447099686
56,3,456,-0.006625249603490602,0.023667319491505624,-2.3823659420013428,-0.043190039694309235
57,3,464,-0.006412067924225084,0.014154091663658618,-2.5243616104125977,-0.036066193133592606
58,4,472,-0.01220906257376555,0.012983160838484765,-2.2032523155212402,-0.041833531111478806
59,4,480,-0.005520472994464854,0.019958383962512018,-2.3667151927948,-0.03884552791714668
60,4,488,-0.013518838650634279,0.03731624558568001,-1.9433214664459229,-0.05100389942526817
61,4,496,-0.006648785969900928,0.01380055509507656,-1.947219729423523,-0.027217905968427658
62,4,504,-0.012252770724626317,0.03071194253861904,-2.698336601257324,-0.06563414633274078
63,4,512,-0.013052129232579545,0.02744980938732624,-2.4755537509918213,-0.05809987708926201
64,4,520,-0.007065543181852263,0.014636341854929924,-2.025554895401001,-0.03791389986872673
65,4,528,-0.009174546517513704,0.01471202950924635,-2.6013660430908203,-0.03651464357972145
66,4,536,-0.010677622631192207,0.019148370996117593,-2.930803060531616,-0.04907044768333435
67,4,544,-0.005452142823810391,0.02436319850385189,-1.1708996295928955,-0.03692749887704849
68,4,552,-0.007583789196425527,0.010571580938994884,-1.7580809593200684,-0.027420664206147194
69,4,560,-0.014432764372577367,0.019999857619404794,-1.5585272312164307,-0.04136154428124428
70,4,568,-0.030979491947073258,0.03170943930745125,-2.681535243988037,-0.029371783137321472
71,4,576,-0.007408224611302217,0.01763179525732994,-2.134382963180542,-0.039801858365535736
72,4,584,-0.006554930200150011,0.018848763406276704,-1.8364546298980713,-0.03838368505239487
73,4,592,-0.008454162713542246,0.008945441991090774,-2.215771198272705,-0.03414704278111458
74,4,600,-0.0036294535633373927,0.010642377473413945,-2.0149192810058594,-0.032173652201890945
75,4,608,-0.008019572496414185,0.014103510417044163,-2.067314863204956,-0.06260553002357483
76,4,616,-0.0035716677175514633,0.026264500617980958,-2.613109588623047,-0.05841681733727455
77,4,624,-0.0070349307937704,0.015144095011055469,-1.6121128797531128,-0.0468953438103199
78,5,632,-0.004724219235231431,0.008436721190810204,-1.8322536945343018,-0.03335493803024292
79,5,640,-0.005013033733575867,0.01788286603987217,-1.632327914237976,-0.03627579286694527
80,5,648,-0.004071055216809327,0.010727587155997753,-2.160336971282959,-0.0352298878133297
81,5,656,-0.006675506976489487,0.029438981786370277,-1.314937710762024,-0.06705384701490402
82,5,664,-0.009752366744578467,0.04529050439596176,-2.74845814704895,-0.05121708661317825
83,5,672,-0.011292532676816337,0.011995034106075764,-2.091848373413086,-0.043222665786743164
