,Episode,Timestep,Policy_Loss,Critic_Loss,Reward,RM_Reward,Ref_Reward
0,0,8,2.898706163989573e-09,0.6172724962234497,-5.803703308105469,-5.8037028312683105,0.0
1,0,16,-0.05967387557029724,1.137577772140503,-4.687688827514648,-4.687688827514648,-0.016341302543878555
2,0,24,-0.09500409662723541,1.3752844333648682,-5.264744758605957,-5.264744758605957,-0.02170153521001339
3,0,32,-0.08348602056503296,1.3592393398284912,-6.066168785095215,-6.066168785095215,-0.032483819872140884
4,1,40,-0.027510017156600952,0.6166030764579773,-5.1250200271606445,-5.1250200271606445,-0.06087174639105797
5,1,48,-0.08130398392677307,1.3231006860733032,-5.634413719177246,-5.634413719177246,-0.06371716409921646
6,1,56,-0.07890118658542633,0.9940635561943054,-4.555176258087158,-4.555176258087158,-0.05708307772874832
7,1,64,-0.08736632764339447,0.9573522806167603,-5.517604827880859,-5.517604827880859,-0.06654065102338791
8,2,72,-0.08710557222366333,1.5121632814407349,-5.729124069213867,-5.729124069213867,-0.08837711066007614
9,2,80,-0.09180735051631927,1.5731127262115479,-5.483518600463867,-5.483518600463867,-0.10085480660200119
10,2,88,-0.08733480423688889,1.4787453413009644,-6.12044620513916,-6.12044620513916,-0.09106554090976715
11,2,96,-0.09641830623149872,1.675101637840271,-6.261346817016602,-6.261346340179443,-0.12654298543930054
12,3,104,-0.09656616300344467,1.1834871768951416,-5.760587692260742,-5.760587215423584,-0.11298815906047821
13,3,112,-0.08557797223329544,1.6152608394622803,-5.594315528869629,-5.594315528869629,-0.12923768162727356
14,3,120,-0.08617142587900162,1.3975735902786255,-5.973374366760254,-5.973374366760254,-0.12329623848199844
15,3,128,-0.08156523108482361,1.0187952518463135,-5.649257659912109,-5.649258613586426,-0.11227911710739136
16,4,136,-0.08416908979415894,1.277451753616333,-5.874197006225586,-5.8741960525512695,-0.13784587383270264
17,4,144,-0.07431825995445251,1.0207533836364746,-6.480600357055664,-6.480600357055664,-0.1338573396205902
18,4,152,-0.06653286516666412,1.4778718948364258,-5.360703468322754,-5.360703468322754,-0.10616206377744675
19,4,160,-0.06783907860517502,0.9406367540359497,-5.515519142150879,-5.515519142150879,-0.13405677676200867
20,5,168,-0.04050968959927559,1.1871250867843628,-4.221050262451172,-4.221050262451172,-0.12419058382511139
21,5,176,-0.0382399819791317,0.8385368585586548,-4.770999908447266,-4.770999908447266,-0.11341045051813126
22,5,184,-0.027611050754785538,0.7234971523284912,-4.253324508666992,-4.253324508666992,-0.0711636170744896
23,5,192,-0.015811294317245483,1.3775520324707031,-3.1682684421539307,-3.1682682037353516,-0.05678660422563553
24,6,200,-0.002927490510046482,1.1344332695007324,-2.0533876419067383,-2.0533876419067383,-0.055863577872514725
25,6,208,-0.004032626748085022,0.5838931202888489,-1.7522854804992676,-1.752285361289978,-0.04295358806848526
26,6,216,-0.0033047357574105263,0.13024313747882843,-2.865844964981079,-2.8658447265625,-0.0448077954351902
27,6,224,-0.0004887650138698518,0.5641417503356934,-1.8242340087890625,-1.824233889579773,-0.05344761162996292
28,7,232,-0.018645815551280975,0.25566810369491577,-2.2174935340881348,-2.217493772506714,-0.025035928934812546
29,7,240,0.0003497186116874218,0.1862976849079132,-2.182574987411499,-2.182574987411499,-0.06534458696842194
30,7,248,-0.008955025114119053,0.12243519723415375,-2.7274014949798584,-2.7274014949798584,-0.03980650380253792
31,7,256,-0.003946041222661734,0.24456378817558289,-2.691511631011963,-2.691511631011963,-0.04490043967962265
32,8,264,-0.00013364550250116736,0.15315668284893036,-2.180206298828125,-2.180206298828125,-0.04012632742524147
33,8,272,-0.026502147316932678,0.390794575214386,-2.2906675338745117,-2.2906675338745117,-0.05499628558754921
34,8,280,-0.025353340432047844,0.10278457403182983,-2.6715593338012695,-2.6715593338012695,-0.04834292456507683
35,8,288,-0.033551331609487534,0.3161478042602539,-2.7440438270568848,-2.7440438270568848,-0.026964491233229637
36,9,296,-0.017751917243003845,0.2467857450246811,-2.296401262283325,-2.296401262283325,-0.07330433279275894
37,9,304,-0.0006055277190171182,0.08623860031366348,-2.400784492492676,-2.400784492492676,-0.04814380407333374
38,9,312,-0.04869488254189491,0.6443281173706055,-2.3120651245117188,-2.3120648860931396,-0.060046978294849396
39,9,320,-0.026818765327334404,0.7940320372581482,-3.13175106048584,-3.13175106048584,-0.07963335514068604
40,10,328,-0.005166069604456425,0.22114460170269012,-3.2523980140686035,-3.2523980140686035,-0.05794503912329674
41,10,336,-0.001058027846738696,0.1729736328125,-2.6246848106384277,-2.6246848106384277,-0.04057447612285614
42,10,344,-0.00345613737590611,0.1964208334684372,-1.035129427909851,-1.0351293087005615,-0.0416041798889637
43,10,352,-0.0006254332838580012,0.0977596715092659,-2.1404643058776855,-2.1404643058776855,-0.044844552874565125
44,11,360,-0.011947577819228172,0.36162224411964417,-2.5512704849243164,-2.5512704849243164,-0.05822459235787392
45,11,368,-0.024830564856529236,0.21974259614944458,-1.540895700454712,-1.540895700454712,-0.047962483018636703
46,11,376,-0.00206373562105,0.10829252004623413,-2.221740245819092,-2.221740245819092,-0.043852854520082474
47,11,384,-0.002482243347913027,0.03703735023736954,-1.9191138744354248,-1.9191138744354248,-0.04316450655460358
48,12,392,-0.000535439292434603,0.12084001302719116,-1.3532984256744385,-1.353298544883728,-0.049987781792879105
49,12,400,-0.0014729188987985253,0.07210583984851837,-1.7472963333129883,-1.7472963333129883,-0.03609301894903183
50,12,408,-0.0010695398086681962,0.1623820811510086,-2.1449708938598633,-2.1449708938598633,-0.04114586487412453
51,12,416,-0.0006719335215166211,0.24494224786758423,-2.9407548904418945,-2.9407548904418945,-0.0423358753323555
52,13,424,-0.0014386302791535854,0.07764224708080292,-1.1858971118927002,-1.1858971118927002,-0.042621031403541565
53,13,432,-0.0009412888903170824,0.1159713864326477,-2.459329128265381,-2.4593288898468018,-0.04569459706544876
54,13,440,-0.0004233077634125948,0.21546298265457153,-1.4350581169128418,-1.4350581169128418,-0.04086369276046753
55,13,448,-0.0020934559870511293,0.08304482698440552,-1.4557836055755615,-1.455783486366272,-0.05267653986811638
56,14,456,-0.0013924874365329742,0.06313430517911911,-2.2975692749023438,-2.297569513320923,-0.037629593163728714
57,14,464,-0.0009171206620521843,0.0690440908074379,-2.311013698577881,-2.311013698577881,-0.04087674990296364
58,14,472,-0.0023352568969130516,0.05129313841462135,-2.162886619567871,-2.16288685798645,-0.03978792577981949
59,14,480,-0.0014309737598523498,0.0956231951713562,-2.2796120643615723,-2.2796120643615723,-0.043064896017313004
60,15,488,-0.0010196074144914746,0.0915214866399765,-1.8402040004730225,-1.840204119682312,-0.043810293078422546
61,15,496,-0.002385033294558525,0.07930567860603333,-2.013458251953125,-2.013458251953125,-0.036274608224630356
62,15,504,-0.0013556911144405603,0.05886751413345337,-2.41780948638916,-2.417809247970581,-0.042010027915239334
63,15,512,-0.004842216148972511,0.16783258318901062,-2.2580957412719727,-2.2580957412719727,-0.04207446426153183
64,16,520,-0.0003436628612689674,0.1492110639810562,-3.0177783966064453,-3.0177788734436035,-0.04711081460118294
65,16,528,-0.0021536352578550577,0.0629124864935875,-2.6788642406463623,-2.6788644790649414,-0.037117864936590195
66,16,536,-0.0011768997646868229,0.10518719255924225,-2.5941293239593506,-2.5941290855407715,-0.04673986881971359
67,16,544,-0.0016442573396489024,0.06551101803779602,-2.4033520221710205,-2.4033520221710205,-0.04198988527059555
68,17,552,-0.00573943043127656,0.08231644332408905,-1.9055770635604858,-1.9055770635604858,-0.04099465161561966
69,17,560,-0.0038644014857709408,0.06633833050727844,-1.631514549255371,-1.6315146684646606,-0.04431956633925438
70,17,568,-0.005015384405851364,0.049573007971048355,-1.6473350524902344,-1.6473350524902344,-0.03813866898417473
71,17,576,-0.002761299256235361,0.07615259289741516,-1.8843235969543457,-1.8843234777450562,-0.05619348958134651
72,18,584,-0.001038795686326921,0.2591576874256134,-2.864046096801758,-2.864046096801758,-0.03971116989850998
73,18,592,-0.004569884855300188,0.10226728022098541,-2.7307496070861816,-2.7307498455047607,-0.045141395181417465
74,18,600,-0.0031595430336892605,0.08962772786617279,-1.6746121644973755,-1.6746121644973755,-0.04118884354829788
75,18,608,-0.0036552075762301683,0.12570813298225403,-1.5134962797164917,-1.5134961605072021,-0.04839480668306351
76,19,616,-0.0011500996770337224,0.05706792697310448,-2.2496910095214844,-2.2496907711029053,-0.050227079540491104
77,19,624,-0.004279312212020159,0.14831207692623138,-2.267106533050537,-2.267106533050537,-0.045619696378707886
78,19,632,-0.006581566296517849,0.073827363550663,-2.2013356685638428,-2.2013356685638428,-0.033864881843328476
79,19,640,-0.0024845420848578215,0.18049687147140503,-2.697319984436035,-2.697319984436035,-0.03873076289892197
80,20,648,-0.00217517651617527,0.08037043362855911,-2.33498477935791,-2.33498477935791,-0.03835274651646614
81,20,656,-0.00129977788310498,0.050159305334091187,-2.336920738220215,-2.336920738220215,-0.03777807950973511
82,20,664,-0.0018185911467298865,0.15029075741767883,-1.8782318830490112,-1.8782317638397217,-0.05233527719974518
83,20,672,-0.00991624966263771,0.16730180382728577,-1.7171499729156494,-1.7171499729156494,-0.046214766800403595
84,21,680,-0.003730335272848606,0.081809863448143,-2.600259780883789,-2.600260019302368,-0.04533625394105911
85,21,688,-0.0013940833741798997,0.048011139035224915,-2.509300947189331,-2.509300947189331,-0.037201493978500366
86,21,696,-0.0019737929105758667,0.04435569792985916,-1.8275210857391357,-1.8275209665298462,-0.045177169144153595
87,21,704,-0.0010249869665130973,0.12325691431760788,-2.333759069442749,-2.333759069442749,-0.039487846195697784
88,22,712,-0.0013950732536613941,0.08009418100118637,-1.9533703327178955,-1.953370451927185,-0.03434385731816292
89,22,720,-0.0024602694902569056,0.09730427712202072,-1.8130359649658203,-1.8130358457565308,-0.03870084509253502
90,22,728,-0.0010628605959936976,0.04302544891834259,-1.8829059600830078,-1.8829059600830078,-0.03430454060435295
91,22,736,-0.0032021510414779186,0.1488468050956726,-2.517094373703003,-2.517094135284424,-0.05656025558710098
92,23,744,-0.0006678847130388021,0.3016430139541626,-3.240346908569336,-3.240346908569336,-0.05409284308552742
93,23,752,-0.0015644561499357224,0.12844698131084442,-1.8484725952148438,-1.8484725952148438,-0.05263233184814453
94,23,760,-0.0006130129331722856,0.12383759766817093,-3.1400656700134277,-3.1400656700134277,-0.04922317713499069
95,23,768,-0.002030551666393876,0.1450337916612625,-2.3153164386749268,-2.3153164386749268,-0.037448324263095856
96,24,776,-0.00012335290375631303,0.12113259732723236,-2.6094255447387695,-2.6094253063201904,-0.03525695577263832
97,24,784,-0.0021322413813322783,0.08872738480567932,-1.7463176250457764,-1.746317744255066,-0.03883226215839386
98,24,792,-0.003095874097198248,0.0826241746544838,-2.7132983207702637,-2.7132985591888428,-0.041133347898721695
99,24,800,-0.007494735531508923,0.16285990178585052,-1.3421729803085327,-1.3421730995178223,-0.06250972300767899
100,25,808,-0.005920856259763241,0.08863593637943268,-1.8895847797393799,-1.8895847797393799,-0.049182288348674774
101,25,816,-0.0029990561306476593,0.1892695277929306,-2.973426342010498,-2.973426580429077,-0.06321274489164352
102,25,824,-0.0027200435288250446,0.1322849541902542,-2.0475926399230957,-2.0475926399230957,-0.03500906005501747
103,25,832,-0.0006653115269728005,0.13064569234848022,-2.0585293769836426,-2.0585296154022217,-0.031477149575948715
104,26,840,-0.0018556100549176335,0.1121872067451477,-1.457026720046997,-1.4570268392562866,-0.04714397341012955
105,26,848,-0.0025200634263455868,0.07480552792549133,-1.8556491136550903,-1.8556491136550903,-0.03509874641895294
106,26,856,-0.0015419713454321027,0.044433921575546265,-2.201265811920166,-2.201265811920166,-0.04188424348831177
107,26,864,-0.0013177900109440088,0.07086625695228577,-2.611337661743164,-2.611337900161743,-0.04231901094317436
108,27,872,-0.0016913334839046001,0.0780431479215622,-2.5224456787109375,-2.5224459171295166,-0.03758949413895607
109,27,880,-0.0021287512499839067,0.09603416919708252,-1.4319570064544678,-1.4319570064544678,-0.03332333266735077
110,27,888,-0.0029230760410428047,0.060973770916461945,-2.097562551498413,-2.097562551498413,-0.04056628420948982
111,27,896,-0.0050255716778337955,0.05329926684498787,-2.002333879470825,-2.002333879470825,-0.034638967365026474
112,28,904,-0.0031217089854180813,0.12922264635562897,-2.8553085327148438,-2.855308771133423,-0.03252813220024109
113,28,912,-0.0059366170316934586,0.10349344462156296,-2.468623638153076,-2.4686238765716553,-0.057522002607584
114,28,920,-0.001494084601290524,0.11421720683574677,-1.343095302581787,-1.343095302581787,-0.03412940353155136
115,28,928,-0.02113271877169609,0.16737648844718933,-1.3709368705749512,-1.3709368705749512,-0.05310484394431114
116,29,936,-0.004069315269589424,0.0494503416121006,-1.927955985069275,-1.9279561042785645,-0.03286449611186981
117,29,944,-0.004785087425261736,0.11559749394655228,-2.2161030769348145,-2.2161028385162354,-0.060133349150419235
118,29,952,-0.000890879484359175,0.08954045176506042,-1.8954229354858398,-1.8954228162765503,-0.03764519840478897
119,29,960,-0.0022483093198388815,0.05662989988923073,-2.5533316135406494,-2.5533318519592285,-0.041503023356199265
120,30,968,-0.003100303001701832,0.024614175781607628,-2.387241840362549,-2.3872416019439697,-0.04035564512014389
121,30,976,-0.0022598488721996546,0.10385254770517349,-1.7287135124206543,-1.7287135124206543,-0.03674052283167839
122,30,984,-0.0011602980084717274,0.1511436104774475,-2.559964656829834,-2.559964656829834,-0.03692743927240372
123,30,992,-0.004103665240108967,0.0700162798166275,-2.817336082458496,-2.817336082458496,-0.03582429513335228
124,31,1000,-0.006170283071696758,0.08020053058862686,-2.9610519409179688,-2.9610519409179688,-0.04617869853973389
125,31,1008,-0.002693452639505267,0.07864141464233398,-2.338326930999756,-2.338327169418335,-0.04808484762907028
126,31,1016,-0.0034811790101230145,0.05439164489507675,-2.2029929161071777,-2.2029929161071777,-0.04282597452402115
127,31,1024,-0.0024942918680608273,0.04801083356142044,-2.192897319793701,-2.192897319793701,-0.034036412835121155
128,32,1032,-0.0021520229056477547,0.21534757316112518,-2.4501214027404785,-2.4501214027404785,-0.04572608694434166
129,32,1040,-0.014276833273470402,0.1288054883480072,-2.587036609649658,-2.587036609649658,-0.04355666786432266
130,32,1048,-0.01574355736374855,0.07582339644432068,-2.6448676586151123,-2.6448676586151123,-0.03486208990216255
131,32,1056,-0.003770498326048255,0.059835970401763916,-1.5902913808822632,-1.5902913808822632,-0.036962930113077164
132,33,1064,-0.0016909056575968862,0.050441280007362366,-2.15252685546875,-2.152526617050171,-0.03306344151496887
133,33,1072,-0.003699914086610079,0.05248361453413963,-1.7835478782653809,-1.7835478782653809,-0.03865043818950653
134,33,1080,-0.014958029612898827,0.11116258054971695,-2.556922435760498,-2.556922674179077,-0.04603893682360649
135,33,1088,-0.0033458699472248554,0.20092511177062988,-2.9489991664886475,-2.9489994049072266,-0.04690472409129143
136,34,1096,-0.001767560956068337,0.041200801730155945,-2.4881439208984375,-2.4881436824798584,-0.04317454248666763
137,34,1104,-0.020229849964380264,0.11144593358039856,-2.20580792427063,-2.20580792427063,-0.06380539387464523
138,34,1112,-0.0025278772227466106,0.13323622941970825,-1.5437208414077759,-1.5437208414077759,-0.04696378484368324
139,34,1120,0.003945403732359409,0.13708066940307617,-2.707514524459839,-2.707514524459839,-0.05148757994174957
140,35,1128,-0.003993456717580557,0.04516991227865219,-2.2351465225219727,-2.2351465225219727,-0.05217274650931358
141,35,1136,-0.0011726110242307186,0.04039753973484039,-1.6314588785171509,-1.6314588785171509,-0.03367476165294647
142,35,1144,-0.004064462147653103,0.03211113065481186,-2.7959351539611816,-2.7959351539611816,-0.039113231003284454
143,35,1152,-0.0049282279796898365,0.09912575036287308,-2.6856720447540283,-2.6856720447540283,-0.04712696745991707
144,36,1160,-0.002030793344601989,0.03226608783006668,-2.2425336837768555,-2.2425334453582764,-0.049671560525894165
145,36,1168,-0.004567996598780155,0.02498575486242771,-2.552456855773926,-2.552456855773926,-0.04766243323683739
146,36,1176,-0.008749210275709629,0.05527075380086899,-2.1955971717834473,-2.1955974102020264,-0.05511072278022766
147,36,1184,-0.0018663626397028565,0.09385434538125992,-2.853334903717041,-2.853334903717041,-0.046096738427877426
148,37,1192,0.015199115499854088,0.28308969736099243,-2.869220733642578,-2.869220495223999,-0.060633584856987
149,37,1200,-0.0016918047331273556,0.10276398807764053,-2.635230302810669,-2.635230302810669,-0.03776600584387779
150,37,1208,-0.00213411427102983,0.04362216964364052,-1.877179503440857,-1.877179503440857,-0.043281324207782745
151,37,1216,-0.00206904299557209,0.05347149819135666,-1.4700419902801514,-1.4700418710708618,-0.05281724035739899
