,Episode,Timestep,Policy_Loss,Critic_Loss,Reward,RM_Reward,Ref_Reward
0,0,8,676.6384712219239,33.19804916381836,-5.4102253913879395,-5.154975414276123,0.2552501857280731
1,0,16,8392.460371398925,27.843734359741212,-5.255875110626221,-5.083779335021973,0.17209568619728088
2,0,24,383.5373901367187,26.796992111206055,-5.3782958984375,-5.071543216705322,0.3067535161972046
3,0,32,2538.664877319336,34.04224395751953,-5.656948089599609,-5.508142948150635,0.14880488812923431
4,1,40,3454.9269287109373,30.66321792602539,-5.891797065734863,-5.829434394836426,0.06236268952488899
5,1,48,502.0530151367187,28.655028533935546,-5.450772285461426,-5.224674224853516,0.2260981798171997
6,1,56,691.0272827148438,33.315185546875,-6.476171016693115,-6.3778252601623535,0.09834515303373337
7,1,64,2745.6219970703123,30.391938400268554,-6.031347274780273,-5.929584503173828,0.1017623245716095
8,2,72,343.7515441894531,24.954462432861327,-5.721306800842285,-5.615488529205322,0.10581860691308975
9,2,80,1616.837646484375,24.801352310180665,-6.2667236328125,-6.232023239135742,0.034700632095336914
10,2,88,405.7503860473633,25.987982177734374,-5.945399761199951,-5.686548709869385,0.258850634098053
11,2,96,371.6798156738281,19.855366897583007,-5.508336067199707,-5.3115129470825195,0.19682274758815765
12,3,104,653.7269012451172,21.36171226501465,-6.27992057800293,-6.204864025115967,0.07505665719509125
13,3,112,556.3707092285156,15.596410942077636,-5.820185661315918,-5.766414642333984,0.05377087742090225
14,3,120,1018.3886047363281,20.103496551513672,-5.526254653930664,-5.301689624786377,0.22456391155719757
15,3,128,619.9432983398438,15.80531120300293,-5.703370571136475,-5.6512322425842285,0.05213801562786102
16,4,136,1045.2569732666016,18.314382553100586,-5.811771392822266,-5.614071369171143,0.19769933819770813
17,4,144,598.81708984375,16.612345886230468,-5.677311897277832,-5.521229267120361,0.1560828685760498
18,4,152,159.44955291748047,16.099585914611815,-5.296921253204346,-5.102980613708496,0.1939411163330078
19,4,160,193.7996856689453,21.989434814453126,-5.827915191650391,-5.677620887756348,0.15029430389404297
20,5,168,486.4760581970215,21.452853775024415,-5.809283256530762,-5.7194108963012695,0.08987259864807129
21,5,176,822.3275329589844,18.939610290527344,-6.2527618408203125,-6.19321870803833,0.059542421251535416
22,5,184,4670.365393066406,15.57506504058838,-5.063058376312256,-4.998754978179932,0.06430342048406601
23,5,192,621.0670455932617,20.57909240722656,-6.002631664276123,-5.878958225250244,0.12367400527000427
24,6,200,170.9006887435913,14.979537963867188,-5.7150092124938965,-5.574314117431641,0.1406952291727066
25,6,208,6997.00048828125,12.826755142211914,-6.150966644287109,-5.975541591644287,0.1754249483346939
26,6,216,243.0725891113281,18.97013702392578,-5.709014892578125,-5.584179878234863,0.12483512610197067
27,6,224,469.2292816162109,14.319161987304687,-5.216343879699707,-5.04052734375,0.17581641674041748
28,7,232,598.2043731689453,17.55898513793945,-5.807889461517334,-5.612736701965332,0.19515253603458405
29,7,240,767.063427734375,13.897189140319824,-6.117040157318115,-6.038372039794922,0.0786675363779068
30,7,248,1012.7884094238282,17.744225692749023,-6.271822929382324,-6.220708847045898,0.051114294677972794
31,7,256,270.21795043945315,17.58837890625,-5.824868202209473,-5.7516703605651855,0.07319760322570801
32,8,264,1664.034423828125,15.06104736328125,-5.531037330627441,-5.441706657409668,0.08933022618293762
33,8,272,728.334423828125,13.076275062561034,-5.915369987487793,-5.859419345855713,0.055950991809368134
34,8,280,214.70798950195314,10.647592353820801,-6.103837013244629,-6.048173904418945,0.05566324293613434
35,8,288,779.2394897460938,12.569811630249024,-5.823174476623535,-5.7472405433654785,0.07593371719121933
36,9,296,35.992448079586026,20.975623321533202,-5.7561798095703125,-5.492424011230469,0.263755738735199
37,9,304,36.28363770246506,17.976646423339844,-5.565727710723877,-5.373230934143066,0.19249673187732697
38,9,312,1270.1145935058594,8.769299697875976,-6.442267417907715,-6.417956352233887,0.02431066893041134
39,9,320,751.1040466308593,13.894850540161134,-6.212496757507324,-6.161634922027588,0.05086120218038559
40,10,328,1773.3060424804687,13.48194580078125,-6.099175930023193,-6.0553741455078125,0.043800998479127884
41,10,336,757.0315147399903,19.013990020751955,-5.844512939453125,-5.730334281921387,0.11417867243289948
42,10,344,418.64817504882814,11.84961223602295,-5.219213962554932,-5.169929504394531,0.04928513988852501
43,10,352,2021.0679443359375,18.642177963256835,-5.7751970291137695,-5.649313449859619,0.12588319182395935
44,11,360,817.84736328125,12.039409828186034,-5.46042537689209,-5.3848185539245605,0.0756063312292099
45,11,368,627.1131591796875,25.563710403442382,-5.719751358032227,-5.5603742599487305,0.1593770533800125
46,11,376,711.999104309082,12.449749183654784,-5.346899509429932,-5.2483649253845215,0.09853455424308777
47,11,384,473.9537384033203,13.429125785827637,-5.736802577972412,-5.654779434204102,0.08202293515205383
48,12,392,703.429165649414,14.788322639465331,-5.936528205871582,-5.855754852294922,0.08077424764633179
49,12,400,6112.650012207031,13.568786811828613,-5.624471664428711,-5.526405334472656,0.09806586802005768
50,12,408,1098.7787231445313,13.79437427520752,-6.1971330642700195,-6.158764362335205,0.03836921229958534
51,12,416,97.6678367614746,18.152618408203125,-5.530730247497559,-5.2109246253967285,0.3198055624961853
52,13,424,627.4275192260742,13.705187034606933,-5.380469799041748,-5.261038780212402,0.11943106353282928
53,13,432,140.21182708740236,9.428338432312012,-5.282780647277832,-5.226678371429443,0.05610215291380882
54,13,440,2223.739990234375,15.835539245605469,-6.094535827636719,-6.036416053771973,0.058120399713516235
55,13,448,2104.4376953125,6.84188060760498,-5.746797561645508,-5.7230119705200195,0.023786146193742752
56,14,456,1191.6536499023437,14.468584060668945,-5.819359302520752,-5.637626647949219,0.1817328929901123
57,14,464,620.4780395507812,8.613531970977784,-5.23922061920166,-5.168648719787598,0.07057205587625504
58,14,472,828.31826171875,9.382726669311523,-6.097490310668945,-6.06727933883667,0.030211422592401505
59,14,480,556.8800720214844,16.439012908935545,-6.173916816711426,-6.082150459289551,0.09176661819219589
60,15,488,415.0456848144531,9.981462287902833,-6.371511459350586,-6.33754825592041,0.033963508903980255
61,15,496,442.2178665161133,13.110137939453125,-5.2325334548950195,-5.049801349639893,0.1827322542667389
62,15,504,810.0256958007812,8.294455337524415,-5.756774425506592,-5.719288349151611,0.03748518228530884
63,15,512,831.0306762695312,10.506194686889648,-6.060654163360596,-5.9803595542907715,0.080294668674469
64,16,520,413.0925994873047,9.990767860412598,-5.653306007385254,-5.606829643249512,0.04647619649767876
65,16,528,418.0655578613281,13.381522750854492,-5.433229923248291,-5.247505187988281,0.18572527170181274
66,16,536,1443.3552856445312,9.68627758026123,-5.955015659332275,-5.904400825500488,0.05061490461230278
67,16,544,1332.8073181152345,8.514394950866699,-5.847355842590332,-5.781073570251465,0.06628157943487167
