,Episode,Timestep,Policy_Loss,Critic_Loss,RM_Score,Ref_KL,Generate_Length
0,1,8,-0.01069115175719162,0.2121012717485428,-4.784890651702881,0.0,73.5
1,1,16,-0.0068955338501837105,0.2591027557849884,-4.7729668617248535,4.237590474076569e-05,53.0
2,1,24,-0.004332486010389403,0.16240692734718323,-4.737198829650879,-2.719061194511596e-05,79.875
3,1,32,-0.00315059082058724,0.24123917818069457,-6.088298797607422,-6.953132105991244e-05,85.5
4,1,40,-0.0074221722112270076,0.2746834933757782,-4.560187816619873,0.0008982784929685295,38.875
5,1,48,-0.004136872488015797,0.242847216129303,-5.282443523406982,-0.0003761525731533766,65.25
6,1,56,-0.004678810611949302,0.2850890517234802,-5.478751182556152,0.00029270470258779824,58.125
7,1,64,-0.0030993488267995416,0.19904189109802245,-5.290919780731201,0.0002555642859078944,97.75
8,1,72,-0.004150845020194538,0.20130421221256256,-5.459667205810547,-0.0005161155131645501,83.0
9,1,80,-0.004295282065868378,0.2815954089164734,-5.840899467468262,-0.0012840012786909938,66.625
10,1,88,-0.00319870386592811,0.1811030238866806,-5.167073726654053,-0.00094654003623873,85.625
11,1,96,-0.008166485541732982,0.13032975494861604,-3.5458321571350098,-0.001335912966169417,52.25
12,1,104,-0.004205132788047195,0.1810531347990036,-5.5692925453186035,9.218196282745339e-06,80.5
13,1,112,-0.00681631903280504,0.2609375298023224,-5.559238910675049,0.0004100288497284055,54.75
14,1,120,-0.0032128883409313857,0.179623281955719,-5.349273204803467,-0.0019791468512266874,85.0
15,1,128,-0.002620493656695544,0.14323529303073884,-5.45985221862793,-0.0035334264393895864,114.625
16,1,136,-0.004180055492906831,0.19898561239242554,-5.778667449951172,-0.0031012515537440777,87.625
17,1,144,-0.00968012773882947,0.20148414969444275,-5.081796646118164,-0.0025513761211186647,49.75
18,1,152,-0.005581294954754412,0.1738341361284256,-6.022883415222168,-0.003416267456486821,92.875
19,2,160,-0.0066029932699166235,0.15642095506191253,-5.100769519805908,-0.00312863290309906,76.25
20,2,168,-0.009860209599719384,0.21354322433471679,-5.327882289886475,-0.005479112733155489,50.0
21,2,176,-0.015530871867667884,0.2507210195064545,-5.577464580535889,-0.005195791367441416,42.5
22,2,184,-0.005692022854054813,0.12409044802188873,-5.620975494384766,-0.01168828085064888,104.0
23,2,192,-0.01116866324446164,0.13769805133342744,-5.06214714050293,-0.00686957873404026,58.0
24,2,200,-0.005903139268048108,0.09942963868379592,-5.5849761962890625,-0.009548787958920002,89.75
25,2,208,-0.006156820105388761,0.09288687258958817,-5.173366069793701,-0.016181116923689842,102.625
26,2,216,-0.006522759923973354,0.10085385739803314,-6.046219348907471,-0.01759384013712406,103.5
27,2,224,-0.009108576504513622,0.08225811421871185,-4.981171607971191,-0.013574240729212761,79.0
28,2,232,-0.011641335277818143,0.09147829264402389,-5.5373382568359375,-0.015842052176594734,83.0
29,2,240,-0.012108221565722489,0.08691059947013854,-3.9101765155792236,-0.01845966838300228,67.0
30,2,248,-0.011049705994082615,0.11542709469795227,-5.45516300201416,-0.02436884678900242,67.625
31,2,256,-0.008648580190492795,0.09226458966732025,-4.723373889923096,-0.014288491569459438,72.5
32,2,264,-0.007755071474093711,0.1330709546804428,-5.911600112915039,-0.023859281092882156,85.5
33,2,272,-0.00789821768994443,0.08520194292068481,-5.70815896987915,-0.02024681121110916,85.0
34,2,280,-0.01708020761143416,0.09771651923656463,-5.457313060760498,-0.02360571175813675,43.0
35,2,288,-0.012577247549779713,0.09335902035236358,-5.992810249328613,-0.026264647021889687,59.0
36,2,296,-0.012437698035500943,0.08923029154539108,-5.274313449859619,-0.0254934374243021,77.5
37,2,304,-0.010306143928755774,0.09018630385398865,-5.800688743591309,-0.027278050780296326,66.5
38,2,312,-0.013547769514843822,0.06821488589048386,-5.756784439086914,-0.02517959661781788,60.5
39,3,320,-0.008938505115656881,0.10803296715021134,-5.234436511993408,-0.03093412145972252,85.5
40,3,328,-0.008023030328331515,0.09484620839357376,-6.107328414916992,-0.030053721740841866,101.75
41,3,336,-0.024054812162648886,0.09532706290483475,-6.033603668212891,-0.026623688638210297,34.0
42,3,344,-0.006787619637179887,0.0919684648513794,-6.089242458343506,-0.01773914135992527,80.0
43,3,352,-0.00797479521133937,0.08667823821306228,-5.8035173416137695,-0.01722659356892109,76.5
44,3,360,-0.006997308021527715,0.08224369138479233,-6.119661331176758,-0.023865744471549988,114.0
45,3,368,-0.008074909788410878,0.06966655403375625,-5.240754127502441,-0.014740084297955036,77.0
46,3,376,-0.014678686344996094,0.06630524843931199,-5.490477085113525,-0.026609277352690697,45.5
47,3,384,-0.0069975117628928276,0.0848752036690712,-5.8636884689331055,-0.025844011455774307,85.5
48,3,392,-0.008252742921467871,0.09327407330274581,-5.998537540435791,-0.01682022213935852,88.5
49,3,400,-0.013513208995573223,0.09660083800554276,-5.943943023681641,-0.02367788925766945,62.5
50,3,408,-0.0058691733865998685,0.08066834509372711,-6.029303550720215,-0.01953856647014618,110.5
51,3,416,-0.0069754208683662,0.09002022445201874,-5.263092041015625,-0.01900801807641983,89.0
52,3,424,-0.00916333306231536,0.08147153556346894,-5.851447105407715,-0.024002311751246452,57.5
53,3,432,-0.00606030048802495,0.06285172700881958,-5.605734348297119,-0.01461128517985344,96.5
54,3,440,-0.005277276027482003,0.11206993609666824,-5.354229927062988,-0.02530481480062008,76.0
55,3,448,-0.009246609103865922,0.09465080648660659,-5.507014274597168,-0.026554539799690247,62.5
56,3,456,-0.010491158440709114,0.1137322187423706,-4.78739070892334,-0.022295616567134857,74.0
57,3,464,-0.0073533735587261615,0.08582231849431991,-4.235304832458496,-0.017979105934500694,75.5
58,4,472,-0.00926884850487113,0.08052702099084855,-6.035192012786865,-0.021428951993584633,75.0
59,4,480,-0.005052731035539182,0.10130314379930497,-4.26522159576416,-0.0262160524725914,107.5
60,4,488,-0.011024073464795947,0.11831978857517242,-4.256218910217285,-0.0190146304666996,64.5
61,4,496,-0.005827866937761428,0.07401178032159805,-6.035674571990967,-0.022100087255239487,86.5
62,4,504,-0.014503592811524867,0.07079246789216995,-5.395074844360352,-0.010033988393843174,46.5
63,4,512,-0.007068883921601809,0.09175863116979599,-5.808136940002441,-0.028715161606669426,78.5
64,4,520,-0.011479205696377903,0.07733737528324128,-5.382515907287598,-0.026679903268814087,49.0
65,4,528,-0.013227125478442759,0.1159551665186882,-4.874755859375,-0.017853086814284325,43.5
66,4,536,-0.00798202958831098,0.06510326117277146,-4.723868370056152,-0.017324326559901237,81.0
67,4,544,-0.008325875207810895,0.08435062766075134,-6.023983001708984,-0.020980454981327057,71.5
68,4,552,-0.012412602128461004,0.07351545989513397,-5.503270149230957,-0.01773419976234436,42.5
69,4,560,-0.01089892372256145,0.08088683933019639,-6.049458026885986,-0.009957903996109962,66.0
70,4,568,-0.008507204643683508,0.11006513237953186,-5.303349494934082,-0.01760357990860939,63.0
71,4,576,-0.006140645314007998,0.07497041672468185,-5.52802848815918,-0.01858425699174404,95.625
72,4,584,-0.006459545128745958,0.07062035799026489,-5.757751941680908,-0.015611056238412857,89.5
73,4,592,-0.007430110510904342,0.08472685515880585,-5.299480438232422,-0.01283665094524622,67.5
74,4,600,-0.006185210251715034,0.11287677735090255,-5.432476043701172,-0.029250487685203552,92.125
75,4,608,-0.012420857348479331,0.08390293270349503,-5.241223335266113,-0.013754114508628845,43.125
76,4,616,-0.012178473576204852,0.12129144817590713,-4.395478248596191,-0.02001919597387314,44.375
77,4,624,-0.007102110935375094,0.07882078886032104,-5.240602493286133,-0.0171792134642601,105.5
78,5,632,-0.010356925589212551,0.088627290725708,-5.435317039489746,-0.02425960823893547,54.125
79,5,640,-0.0054038386675529185,0.08254561573266983,-4.059619426727295,-0.017751723527908325,96.875
80,5,648,-0.005899473116733134,0.08092990666627883,-5.811589241027832,-0.023310353979468346,87.0
81,5,656,-0.00696206481079571,0.0895463690161705,-5.486021995544434,-0.022828256711363792,65.5
82,5,664,-0.006046417725883657,0.09337826520204544,-4.272566318511963,-0.01404562033712864,68.125
83,5,672,-0.004491894814418629,0.07075142562389374,-5.204675674438477,-0.014811839908361435,95.5
84,5,680,-0.007397269204375334,0.08118274509906769,-4.738039016723633,-0.01604861579835415,81.125
85,5,688,-0.011836503498489036,0.07231846749782563,-5.85936975479126,-0.02457493171095848,60.0
86,5,696,-0.008092351537197829,0.0669774055480957,-5.419808387756348,-0.015639105811715126,73.0
87,5,704,-0.007847738289274275,0.08807900249958038,-5.3033037185668945,-0.011025321669876575,65.5
88,5,712,-0.005397755990270525,0.07279638051986695,-5.52402400970459,-0.01971876621246338,91.5
89,5,720,-0.008254178194329142,0.09168659746646882,-5.19680643081665,-0.014777819626033306,75.875
90,5,728,-0.010017089557368308,0.07355104982852936,-5.290833473205566,-0.01590251550078392,55.0
91,5,736,-0.008179737848695367,0.06897724121809005,-4.978088855743408,-0.01685732789337635,63.5
92,5,744,-0.008090500568505377,0.08711656630039215,-6.170294284820557,-0.019305504858493805,57.0
93,5,752,-0.014342321217736754,0.07923061847686767,-5.091845512390137,-0.017157599329948425,51.125
94,5,760,-0.006444069546705578,0.06442705094814301,-5.7535881996154785,-0.015561209060251713,86.0
95,5,768,-0.009380471124313772,0.07540054619312286,-5.348119258880615,-0.02443641796708107,60.25
96,5,776,-0.016510737501084803,0.07119859009981155,-5.184166431427002,-0.021188974380493164,43.5
97,6,784,-0.00823019735980779,0.0809121698141098,-5.063332557678223,-0.0204191654920578,69.125
98,6,792,-0.008487442298792303,0.061185918748378754,-4.487475872039795,-0.009893027134239674,70.875
99,6,800,-0.009201735345413908,0.09030366241931916,-5.310151100158691,-0.018277335911989212,56.0
100,6,808,-0.009297358684125356,0.10381640493869781,-4.758594989776611,-0.014895191416144371,66.0
101,6,816,-0.00732918719004374,0.08291385918855668,-4.459035396575928,-0.015205898322165012,67.875
102,6,824,-0.008698003378231078,0.074295374751091,-5.625992298126221,-0.01939651556313038,60.375
103,6,832,-0.009165043209463875,0.06943164020776749,-5.646994113922119,-0.025233903899788857,64.125
104,6,840,-0.009171817102469504,0.08084111362695694,-4.802459239959717,-0.023693429306149483,73.125
105,6,848,-0.011569220665842294,0.06232683807611465,-4.940744876861572,-0.01566273719072342,45.0
106,6,856,-0.00715215876698494,0.06820651888847351,-5.4964728355407715,-0.01482135895639658,81.375
107,6,864,-0.01666503844608087,0.06920021027326584,-5.042624473571777,-0.02349524013698101,34.375
108,6,872,-0.00949430800974369,0.09685581028461457,-5.424258708953857,-0.018954122439026833,61.0
109,6,880,-0.0038990333618130536,0.07043738663196564,-5.181715488433838,-0.023558275774121284,122.5
110,6,888,-0.008626038703368977,0.07991439551115036,-5.220165252685547,-0.013478439301252365,70.625
111,6,896,-0.00787286731065251,0.07287983298301696,-5.656955242156982,-0.021195508539676666,83.125
112,6,904,-0.014100927603431046,0.14665075838565828,-4.252562522888184,-0.031463008373975754,41.375
113,6,912,-0.010929454211145639,0.05551624670624733,-4.707137107849121,-0.021358376368880272,52.25
114,6,920,-0.00892859201412648,0.08193365335464478,-4.33507776260376,-0.02265825681388378,55.625
115,6,928,-0.011344994034152478,0.07316587418317795,-4.818281650543213,-0.019906410947442055,49.25
116,6,936,-0.008608074369840324,0.07273698896169663,-4.8667192459106445,-0.019841212779283524,62.875
117,7,944,-0.019927661202382298,0.06922677308320999,-4.687703609466553,-0.01889246329665184,36.25
118,7,952,-0.006810037192190066,0.07417153269052505,-5.368101119995117,-0.017168089747428894,69.75
119,7,960,-0.006231718242634088,0.07903416156768799,-4.394376754760742,-0.01558374147862196,60.0
120,7,968,-0.009509071102365851,0.09887037873268127,-4.225149154663086,-0.024016601964831352,58.25
121,7,976,-0.012787295726593585,0.0699600800871849,-4.188830375671387,-0.023041166365146637,55.625
122,7,984,-0.009663653862662613,0.044317826628685,-5.2519755363464355,-0.014596226625144482,59.0
123,7,992,-0.011795026436448097,0.07612768560647964,-4.781675338745117,-0.026331327855587006,50.875
124,7,1000,-0.01188998599536717,0.07417534589767456,-5.462337493896484,-0.022546205669641495,59.25
125,7,1008,-0.012024935777299106,0.1275680035352707,-4.349908828735352,-0.016723765060305595,41.75
126,7,1016,-0.011463480809470638,0.057698887586593625,-4.2875261306762695,-0.02979598566889763,35.875
127,7,1024,-0.02272144528105855,0.05179125517606735,-3.842902183532715,-0.029314234852790833,27.0
128,7,1032,-0.02134386361576617,0.14518350660800933,-3.778107166290283,-0.03678400069475174,28.375
129,7,1040,-0.013032556383404881,0.07713548243045806,-4.3692169189453125,-0.03209155797958374,54.75
130,7,1048,-0.027516572503373027,0.09340699911117553,-3.6827290058135986,-0.026809925213456154,25.875
131,7,1056,-0.010404151468537747,0.06901691406965256,-4.182318210601807,-0.026087986305356026,44.875
132,7,1064,-0.010616345901507885,0.0660577580332756,-5.126033306121826,-0.013548259623348713,50.375
133,7,1072,-0.028367507248185576,0.11022345125675201,-3.778085470199585,-0.032370079308748245,21.0
134,7,1080,-0.029181217262521385,0.13884078562259675,-3.4670557975769043,-0.0685495138168335,17.5
135,7,1088,-0.019760892157501077,0.056385614722967145,-3.8930418491363525,-0.03243996202945709,29.75
136,8,1096,-0.029354179929941892,0.07519740909337998,-4.348954200744629,-0.053687602281570435,19.0
137,8,1104,-0.02263694196008146,0.12754544019699096,-2.931894302368164,-0.06569813191890717,15.875
138,8,1112,-0.0646236874628812,0.19502675533294678,-2.3517749309539795,-0.11618943512439728,6.625
139,8,1120,-0.01855061138048768,0.09881468117237091,-3.069904327392578,-0.04487195983529091,18.5
140,8,1128,-0.04353143610060215,0.08507469445466995,-3.6123690605163574,-0.21093755960464478,6.5
141,8,1136,-0.03807215100387111,0.07986800968647004,-3.1419920921325684,-0.07687927782535553,11.25
142,8,1144,-0.04405764155089855,0.14604960083961488,-1.9533780813217163,-0.2027311474084854,6.875
143,8,1152,-0.02962639359757304,0.07324584275484085,-3.2173609733581543,-0.11343751847743988,14.125
144,8,1160,-0.042056942265480755,0.15340977311134338,-3.956911087036133,-0.34407779574394226,3.875
145,8,1168,-0.04570532248471863,0.10881174802780151,-3.2553892135620117,-0.15395916998386383,7.25
146,8,1176,-0.012842767406255007,0.09676443785429001,-3.6416261196136475,-0.06285085529088974,25.125
147,8,1184,-0.05688862502574921,0.08964900970458985,-3.068241596221924,-0.5192098021507263,3.0
148,8,1192,-0.038960113655775785,0.12533006817102432,-2.366515874862671,-0.20364251732826233,6.25
149,8,1200,-0.03354669893160463,0.09992705583572388,-3.1517090797424316,-0.24407082796096802,4.5
150,8,1208,-0.040904902131296696,0.15297750234603882,-3.5651469230651855,-0.12390755861997604,11.625
151,8,1216,-0.04795447611249983,0.11885063797235489,-3.4486310482025146,-0.1760590672492981,6.0
152,8,1224,-0.039574191067367794,0.08882767409086227,-3.151402473449707,-0.2615550756454468,4.625
153,8,1232,-0.043756712973117826,0.10506361722946167,-2.4285032749176025,-0.21426177024841309,4.25
154,8,1240,-0.039399980241432785,0.07279975265264511,-3.372593879699707,-0.19230087101459503,9.375
155,8,1248,-0.02582362701650709,0.0775359496474266,-3.4121665954589844,-0.07937858253717422,17.625
156,9,1256,-0.045774663286283615,0.09449654668569565,-3.124091148376465,-0.15541699528694153,7.125
157,9,1264,-0.022333041881211102,0.11091115176677704,-2.9766530990600586,-0.11379007995128632,16.25
158,9,1272,-0.014125483785755932,0.10414879322052002,-3.184478282928467,-0.09002193808555603,17.875
159,9,1280,-0.04000666476786137,0.042037366330623625,-3.754054546356201,-0.44059786200523376,3.0
160,9,1288,-0.047046375926584005,0.11954033225774766,-2.4350929260253906,-0.3741777539253235,4.5
161,9,1296,-0.04230179153382778,0.10306172668933869,-2.732347011566162,-0.3874979317188263,3.25
162,9,1304,-0.03129668664187193,0.09016997814178467,-3.5474531650543213,-0.4123448431491852,3.125
163,9,1312,-0.04899503951892257,0.09980558156967163,-3.023735523223877,-0.2008407711982727,8.25
164,9,1320,-0.03128987676464021,0.07207178026437759,-2.998444080352783,-0.3576919734477997,3.75
165,9,1328,-0.034328477492090316,0.2231812059879303,-1.8678938150405884,-0.29888710379600525,3.875
166,9,1336,-0.019147661642637103,0.11285948753356934,-3.472107410430908,-0.10076618939638138,17.25
167,9,1344,-0.030524241481907667,0.07346844971179962,-2.746108055114746,-0.18373991549015045,9.0
168,9,1352,-0.024694347678450867,0.15871318578720092,-2.94692063331604,-0.4032718241214752,3.125
169,9,1360,-0.04567725360393524,0.09820061475038529,-3.676178455352783,-0.31716981530189514,4.875
170,9,1368,-0.020306920050643384,0.09397740066051483,-3.5963120460510254,-0.07465269416570663,17.75
171,9,1376,-0.05117692057974636,0.06049381047487259,-3.3573410511016846,-0.315782755613327,4.5
