,Episode,Timestep,Policy_Loss,Critic_Loss,RM_Score,Ref_KL,Generate_Length
0,1,8,-0.011197405734128552,0.2589305341243744,-4.499386310577393,0.0,56.0
1,1,16,-0.006131490104598925,0.29369120597839354,-5.391598701477051,-5.522947321878746e-05,53.625
2,1,24,-0.0066813906822062565,0.2785918712615967,-4.456365585327148,-5.061142292106524e-05,46.5
3,1,32,-0.002605446607049089,0.20588434338569642,-5.754704475402832,-2.292248245794326e-05,102.625
4,1,40,-0.0055215153624885716,0.3362040758132935,-5.184903621673584,-7.297658157767728e-05,46.875
5,1,48,-0.003586299531161785,0.2328829824924469,-5.363123416900635,-0.00021287966228555888,71.125
6,1,56,-0.0037204142456175758,0.23257694840431214,-5.206473350524902,-0.0002700718760024756,71.5
7,1,64,-0.004395379242487252,0.21026514768600463,-4.654998779296875,-0.0005535678938031197,65.5
8,1,72,-0.003942302110135643,0.17663944661617278,-5.25457239151001,-0.0007784441113471985,82.0
9,1,80,-0.004363349231425673,0.21610926687717438,-5.357471942901611,-0.0009552494739182293,68.25
10,1,88,-0.005940556604218728,0.16180312931537627,-4.672541618347168,-0.001120670814998448,68.0
11,1,96,-0.003507492055359762,0.22301164865493775,-6.165541172027588,-0.0019668899476528168,91.0
12,1,104,-0.0028446267533581704,0.14610718786716462,-5.13960075378418,-0.0016912525752559304,96.125
13,1,112,-0.005138038056611549,0.1812720626592636,-5.251919746398926,-0.000509820063598454,79.5
14,1,120,-0.0075008552987128494,0.2766142308712006,-5.134437084197998,-0.00028710393235087395,50.25
15,1,128,-0.0061061703774612395,0.1447468787431717,-5.226502418518066,-0.0008048878517001867,73.5
16,1,136,-0.004758696188218892,0.17015272080898286,-5.786694049835205,-0.003079506801441312,82.5
17,1,144,-0.003698004479520023,0.1752349317073822,-6.110213279724121,-0.00440562516450882,94.875
18,1,152,-0.00617769691743888,0.17987325489521028,-5.773476600646973,-0.0030764315742999315,72.5
19,2,160,-0.007069419324398041,0.15499360263347625,-5.675345420837402,-0.0022707926109433174,64.0
20,2,168,-0.004020594482426532,0.13099105656147003,-5.90258264541626,-0.0018064638134092093,99.0
21,2,176,-0.006404108152491972,0.17473300993442537,-5.878041744232178,-0.005317578557878733,76.625
22,2,184,-0.007712956018804107,0.10064220130443573,-4.933856010437012,-0.005421838723123074,82.375
23,2,192,-0.006019400039804168,0.1425164133310318,-5.816076278686523,-0.0083996606990695,79.25
24,2,200,-0.007977395795751362,0.11651024222373962,-5.079020023345947,-0.0076915728859603405,84.0
25,2,208,-0.006047650135587901,0.11500192135572433,-5.921558856964111,-0.0054725585505366325,73.625
26,2,216,-0.013360843982081861,0.16786473393440246,-4.234746932983398,-0.009703516960144043,42.0
27,2,224,-0.0075380744267022235,0.12876177728176116,-5.534482002258301,-0.009562216699123383,74.5
28,2,232,-0.011442492727655917,0.17888984680175782,-5.426721096038818,-0.006700474303215742,45.5
29,2,240,-0.005292469551204704,0.11208444386720658,-5.529842376708984,-0.009085113182663918,81.0
30,2,248,-0.013739592494675889,0.13207833468914032,-5.551341533660889,-0.00699953455477953,48.5
31,2,256,-0.00645421912195161,0.08612129986286163,-6.105947494506836,-0.009340100921690464,123.5
32,2,264,-0.00518760165095955,0.09532553255558014,-5.401966094970703,-0.004878937266767025,93.375
33,2,272,-0.007760281935043167,0.08929783403873444,-4.7195634841918945,-0.011111653409898281,83.875
34,2,280,-0.006527534156703041,0.09198887348175049,-5.996252059936523,-0.013048783876001835,90.0
35,2,288,-0.006064591795438901,0.07220962643623352,-5.581309795379639,-0.013765131123363972,84.0
36,2,296,-0.008076493663247674,0.10016181021928787,-4.28084659576416,-0.012312790378928185,76.0
37,2,304,-0.01325743849738501,0.11163887828588485,-5.303150177001953,-0.01817222312092781,56.375
38,2,312,-0.008043588354485109,0.07743719667196274,-6.142609119415283,-0.018876174464821815,95.0
39,3,320,-0.009402039798442275,0.10656219720840454,-5.800642967224121,-0.010749495588243008,55.5
40,3,328,-0.011127227742690593,0.1286473035812378,-5.355364799499512,-0.019757090136408806,79.0
41,3,336,-0.005856176684028469,0.09183644950389862,-5.137862205505371,-0.017111333087086678,116.125
42,3,344,-0.007737396284937859,0.08954569846391677,-5.827538013458252,-0.018407097086310387,85.0
43,3,352,-0.010394669976085425,0.0944134309887886,-4.758451461791992,-0.019058000296354294,91.5
44,3,360,-0.01058554066257784,0.10108569860458375,-5.883542537689209,-0.022460397332906723,77.0
45,3,368,-0.016027025575749577,0.12140498608350754,-4.302740573883057,-0.01842576451599598,45.5
46,3,376,-0.009280775405932218,0.11063659489154816,-4.958434581756592,-0.016285303980112076,67.0
47,3,384,-0.009977391021675431,0.09570354074239731,-4.802823066711426,-0.02247391641139984,71.75
48,3,392,-0.011545291088987142,0.0869551345705986,-5.446141719818115,-0.019757570698857307,51.625
49,3,400,-0.008795103849843144,0.08020071983337403,-4.950525760650635,-0.01760282553732395,78.5
50,3,408,-0.011558269980741897,0.0959267795085907,-5.545467376708984,-0.01938018575310707,63.25
51,3,416,-0.010101088392548262,0.07600101679563523,-5.520636558532715,-0.02455088123679161,63.5
52,3,424,-0.0054174278498976495,0.10814267098903656,-6.131605625152588,-0.011599453166127205,85.5
53,3,432,-0.005782176036154852,0.10856592953205109,-5.6429243087768555,-0.018383191898465157,94.0
54,3,440,-0.006092825857922435,0.11943262070417404,-4.856256484985352,-0.014012576080858707,90.0
55,3,448,-0.008522914093919098,0.07922421991825104,-4.8781418800354,-0.012326291762292385,75.0
56,3,456,-0.007672767975600436,0.08366594016551972,-5.651614189147949,-0.019037935882806778,81.75
57,3,464,-0.017201169254258276,0.05931411236524582,-4.9878387451171875,-0.007155884988605976,37.5
58,4,472,-0.004744185041636229,0.07844642549753189,-5.545838356018066,-0.007900294847786427,94.5
59,4,480,-0.008476990717463195,0.08829538971185684,-5.464236736297607,-0.012290338054299355,76.5
60,4,488,-0.008393623947631568,0.09837317168712616,-5.957521438598633,-0.01618746481835842,70.0
61,4,496,-0.010731315339216962,0.08538643568754196,-6.200977802276611,-0.01605704240500927,73.5
62,4,504,-0.010396490956190973,0.0892292708158493,-5.470050811767578,-0.01561128068715334,57.375
63,4,512,-0.006073110474972054,0.07078889459371566,-5.120070934295654,-0.008561779744923115,86.5
64,4,520,-0.006889242772012949,0.09321000576019287,-4.4005889892578125,-0.011080962605774403,74.5
65,4,528,-0.005500764003954828,0.0943669095635414,-5.489845275878906,-0.011598938144743443,94.0
66,4,536,-0.010866611381061375,0.107537941634655,-4.517978191375732,-0.017790531739592552,56.625
67,4,544,-0.007227590202819556,0.060065098106861115,-5.217536449432373,-0.012605609372258186,78.5
68,4,552,-0.006225947255734355,0.0937079980969429,-5.070353984832764,-0.010839232243597507,93.125
69,4,560,-0.004097350302617997,0.09960108548402787,-5.045355796813965,-0.013238690793514252,83.25
70,4,568,-0.004087604649248533,0.08216837793588638,-4.301568984985352,-0.01069316454231739,90.5
71,4,576,-0.005899783661880065,0.09519468247890472,-5.743946075439453,-0.009079785086214542,85.875
72,4,584,-0.00697833665763028,0.09604406654834748,-5.784648418426514,-0.012333243153989315,86.0
