,Episode,Timestep,Policy_Loss,Critic_Loss,RM_Score,Ref_KL
38,9,312,-0.026664702787638817,0.026453541219234468,-4.416224956512451,-0.06926660239696503
39,9,320,-0.011995814809779404,0.017486294731497765,-4.941866397857666,-0.06328942626714706
40,10,328,-0.022415969153007607,0.02737082988023758,-5.015217304229736,-0.0647425726056099
41,10,336,-0.00857549133052089,0.021162888035178185,-5.001180648803711,-0.059516433626413345
42,10,344,-0.007662008333500126,0.012364269606769085,-4.864677429199219,-0.057176265865564346
43,10,352,-0.0006374540137656481,0.014832735247910022,-4.802225589752197,-0.04871148616075516
44,11,360,-0.000173610767561172,0.01742297224700451,-4.801821708679199,-0.050546612590551376
45,11,368,-0.0037575611377178575,0.017842574790120126,-5.06976318359375,-0.05994576960802078
46,11,376,1.7320787804919745e-06,0.01896176040172577,-4.774655342102051,-0.05816446617245674
47,11,384,-0.008289647777382924,0.02484722062945366,-4.616959571838379,-0.0678461566567421
48,12,392,-0.0026410838832816807,0.013786096498370171,-5.121831893920898,-0.05847568064928055
49,12,400,-0.0013712005198158294,0.024316778779029845,-4.212395668029785,-0.0624072402715683
50,12,408,-0.002844134827682865,0.02624349519610405,-4.281792163848877,-0.06065710633993149
51,12,416,-0.0013597293927887222,0.021936751902103424,-4.596886157989502,-0.06353206932544708
52,13,424,-0.00354509864455963,0.012782176584005355,-5.328818321228027,-0.053083114326000214
53,13,432,-0.0004105464321241925,0.011221262067556382,-4.85274076461792,-0.05113770067691803
54,13,440,-0.0007122328115656273,0.01911846213042736,-4.61977481842041,-0.06034478917717934
55,13,448,-0.0019086036048975076,0.021387269347906114,-4.58563756942749,-0.061525728553533554
56,14,456,-0.03390663216378016,0.14682143032550812,-5.357420921325684,-0.08910860866308212
57,14,464,-0.0035957883423634483,0.014857856556773186,-5.141706466674805,-0.05549703165888786
58,14,472,-0.0014349873159744675,0.01258610188961029,-5.166196823120117,-0.05988360568881035
59,14,480,-0.010279554976477812,0.02250203341245651,-5.1707916259765625,-0.07023299485445023
60,15,488,-0.003666293795549791,0.019669248536229134,-4.595378875732422,-0.06548488140106201
61,15,496,-0.015964196086861192,0.0721188172698021,-4.420289516448975,-0.11810558289289474
62,15,504,-0.008714405067576082,0.044075957685709,-4.70571231842041,-0.05418560653924942
63,15,512,-0.010929564055913943,0.030395322665572166,-4.778310775756836,-0.0680813118815422
64,16,520,-0.011652180465353013,0.021847036108374594,-4.873003005981445,-0.0722561702132225
65,16,528,-0.012321059565465475,0.03913006782531738,-4.173098564147949,-0.08635686337947845
66,16,536,-0.011236751579781412,0.031973905861377716,-4.352773666381836,-0.07123060524463654
67,16,544,-0.009358296235086527,0.03082580827176571,-4.504049777984619,-0.055140335112810135
68,17,552,-0.023490011635658448,0.06167358011007309,-4.248980522155762,-0.08618517965078354
69,17,560,-0.041224419512582246,0.06529861390590667,-3.0587308406829834,-0.10342270880937576
70,17,568,-0.0012213372458063532,0.10927043557167053,-4.180044174194336,-0.09190595895051956
71,17,576,-0.020272086166414738,0.04020694419741631,-4.025398254394531,-0.06896279007196426
72,18,584,-0.007157336100135581,0.03332012966275215,-4.434628009796143,-0.06354636698961258
73,18,592,-0.0025443103259931376,0.021594497188925744,-4.3851399421691895,-0.06168965995311737
74,18,600,-0.0020667040352236655,0.02377195656299591,-4.351917743682861,-0.056362930685281754
75,18,608,-0.001157938317692242,0.02237214706838131,-4.106838703155518,-0.06484054774045944
76,19,616,-0.0016267272410175337,0.0229579359292984,-4.423765182495117,-0.05640029162168503
77,19,624,-0.002910172735141714,0.01892053335905075,-3.8726940155029297,-0.06231384351849556
78,19,632,-0.008875001175783836,0.020290911197662354,-3.9059300422668457,-0.07016005367040634
79,19,640,-0.018279632643586296,0.01945670321583748,-4.72036600112915,-0.06692519038915634
80,20,648,3.258728120272281e-05,0.015299295820295811,-4.853652000427246,-0.06313642859458923
81,20,656,-0.02427999071769591,0.107640141248703,-4.169914722442627,-0.09879062324762344
82,20,664,-0.007142346584953429,0.02291840724647045,-4.774626731872559,-0.06706015765666962
83,20,672,-0.024429021163587094,0.033584247529506686,-3.2963342666625977,-0.06852173805236816
84,21,680,-0.013669953146018089,0.057094016671180726,-3.1016807556152344,-0.06826095283031464
85,21,688,-0.02027750198449212,0.03196344152092934,-3.9640607833862305,-0.09604759514331818
86,21,696,-0.004943439497583313,0.029098577052354812,-3.9794270992279053,-0.0656348168849945
87,21,704,-0.012015814363985555,0.04326685145497322,-2.8908774852752686,-0.05575083568692207
88,22,712,0.00792499782115783,0.03130937814712524,-3.268880844116211,-0.0652211606502533
89,22,720,-0.0032044186986240676,0.028295594081282616,-2.024644374847412,-0.05755692720413208
90,22,728,-0.008895099016950781,0.05188936665654183,-2.375220775604248,-0.07117471098899841
91,22,736,-0.0067030748781689905,0.02315377667546272,-1.867234230041504,-0.037899646908044815
92,23,744,-0.006454513452305832,0.024274246394634248,-2.736515522003174,-0.04458614066243172
93,23,752,-0.0022171645753168434,0.02219449020922184,-1.8365644216537476,-0.04594677686691284
94,23,760,-0.0023924045448609375,0.015367276594042778,-2.3215129375457764,-0.034224141389131546
95,23,768,-0.0006755254913670683,0.00936252400279045,-2.529143810272217,-0.0397934727370739
96,24,776,-4.0360154375207455e-05,0.015523221716284752,-2.0710322856903076,-0.058086421340703964
97,24,784,-6.554715471338569e-05,0.013256312161684037,-2.369248390197754,-0.03755408897995949
98,24,792,-0.0005476905760247064,0.025261124595999718,-2.0955183506011963,-0.05655229091644287
99,24,800,-7.036048373265658e-05,0.006686348933726549,-1.5411593914031982,-0.03697634115815163
100,25,808,-0.0006597445022862303,0.013010286167263985,-2.1138877868652344,-0.0436871238052845
101,25,816,-0.00014624426292186854,0.01449350342154503,-2.3184902667999268,-0.05144936591386795
102,25,824,-0.0004593804009800806,0.011801531910896302,-1.4315896034240723,-0.03818103298544884
103,25,832,-0.0005543005966387682,0.015971927717328072,-2.321387529373169,-0.050175122916698456
104,26,840,-0.0014146815877438712,0.01576193105429411,-1.7442455291748047,-0.05107633396983147
105,26,848,1.2388082456027406e-05,0.011513174697756767,-2.180450201034546,-0.04068273678421974
106,26,856,-1.1723105129135546e-05,0.010687702521681785,-1.3047603368759155,-0.04213033616542816
107,26,864,1.9728137758079357e-06,0.02227132096886635,-1.790695071220398,-0.034924767911434174
108,27,872,-2.6033339744913063e-05,0.022508699074387552,-1.8660894632339478,-0.04490825533866882
109,27,880,-2.3382657278148145e-05,0.010708502121269703,-1.9810329675674438,-0.05142173916101456
110,27,888,-2.6840761318425168e-06,0.019699396565556526,-2.5399341583251953,-0.041089411824941635
111,27,896,-5.420376410469885e-06,0.01965325102210045,-2.738266944885254,-0.041211698204278946
112,28,904,-6.18344880422228e-05,0.017906627804040908,-2.2510251998901367,-0.047477468848228455
113,28,912,3.31658473005092e-06,0.016623343527317046,-1.6094462871551514,-0.045492980629205704
114,28,920,7.37770954373218e-07,0.021262791380286215,-2.45845365524292,-0.048720892518758774
115,28,928,-0.0001469937567605939,0.009983362630009651,-2.138256072998047,-0.04205579310655594
116,29,936,-7.550154214186477e-06,0.011766434088349343,-2.0283985137939453,-0.04462505877017975
117,29,944,-1.4477003789181709e-05,0.009913263656198979,-1.7371054887771606,-0.05280662700533867
118,29,952,-1.2840738343200541e-05,0.012392200902104378,-1.9535958766937256,-0.06283962726593018
119,29,960,5.518482973343453e-06,0.015495318733155728,-2.387603998184204,-0.05249778926372528
120,30,968,-3.90275041439736e-06,0.014476439356803894,-2.2732248306274414,-0.04568742588162422
121,30,976,-0.00028403049382177417,0.016849555447697638,-2.40685772895813,-0.04038741812109947
122,30,984,-0.0014062145170726126,0.008198898285627365,-1.261394739151001,-0.0381995365023613
123,30,992,7.019837616439872e-05,0.022635188698768616,-2.5107622146606445,-0.05325250327587128
124,31,1000,-2.1933377325922265e-05,0.008397962711751462,-1.8198246955871582,-0.03568582981824875
125,31,1008,-0.00048726549837283526,0.01067193653434515,-2.410381555557251,-0.04711581766605377
126,31,1016,-0.0017467973019847705,0.00987708568572998,-2.6268200874328613,-0.04203137755393982
127,31,1024,-0.005114120334383188,0.01606448143720627,-1.7247756719589233,-0.05233244597911835
128,32,1032,2.853041884520735e-05,0.009370067715644836,-0.9639865756034851,-0.04991741105914116
129,32,1040,-0.00019080252561138878,0.010808023996651173,-2.035797595977783,-0.042191293090581894
130,32,1048,-0.00010595187325392885,0.008930608443915845,-1.9198062419891357,-0.04633652791380882
131,32,1056,-1.0431286501244585e-07,0.009358790330588817,-1.9306440353393555,-0.04948616772890091
132,33,1064,-0.00015493679027258622,0.011128539592027665,-2.084439277648926,-0.044179048389196396
133,33,1072,-0.0002716802869656476,0.009062949940562249,-2.1098999977111816,-0.04381424933671951
134,33,1080,-2.744889974337639e-06,0.009253174252808093,-2.0961337089538574,-0.04439130425453186
135,33,1088,9.348372833173358e-07,0.00585525669157505,-2.144320011138916,-0.0443495474755764
136,34,1096,1.1072403712120149e-06,0.009040177799761295,-1.8436429500579834,-0.043060459196567535
137,34,1104,-0.0003616521686865326,0.00868872758001089,-1.517805814743042,-0.03826626390218735
138,34,1112,1.4910490879316285e-06,0.006683734618127346,-1.7684378623962402,-0.05472486466169357
139,34,1120,-2.3896985048565966e-05,0.008131702430546284,-1.9791027307510376,-0.04446840658783913
140,35,1128,-7.521748713656962e-07,0.013768707402050495,-2.32716965675354,-0.051203034818172455
141,35,1136,-1.5428471229483874e-07,0.010804920829832554,-2.5157227516174316,-0.048470981419086456
142,35,1144,1.1259839724608867e-06,0.01381860040128231,-2.084380865097046,-0.05555248633027077
143,35,1152,2.1809436816511153e-07,0.008320974931120873,-2.2211859226226807,-0.060576409101486206
144,36,1160,-4.972207063644873e-05,0.015961239114403725,-1.4542917013168335,-0.04086754843592644
145,36,1168,-1.6758207266320824e-07,0.013410842791199685,-2.4789862632751465,-0.042975783348083496
146,36,1176,3.772080728481342e-06,0.007375605590641499,-2.0792763233184814,-0.03975096344947815
147,36,1184,-0.000407537607429731,0.007866499666124582,-2.2100205421447754,-0.06735263764858246
148,37,1192,1.262543573457009e-05,0.01057010106742382,-2.0245022773742676,-0.04067882522940636
149,37,1200,-0.0006676935594327916,0.005088939052075148,-1.6397302150726318,-0.04033922776579857
150,37,1208,-0.00027310171794283635,0.006383830588310957,-1.8508493900299072,-0.04802274331450462
151,37,1216,-0.0008652597354057434,0.006767796445637941,-1.8544371128082275,-0.039779309183359146
152,38,1224,-0.00048073757251358983,0.004999682679772377,-2.2564022541046143,-0.039484087377786636
153,38,1232,-0.0002474399550465023,0.018942040205001832,-3.4454267024993896,-0.0442814826965332
154,38,1240,-0.0011595044521499176,0.009725551865994931,-2.514392137527466,-0.05337098613381386
155,38,1248,-0.0001525112935368611,0.010889950394630431,-2.3093817234039307,-0.0364951454102993
156,39,1256,-0.0004805262905165364,0.014425506070256233,-1.6073365211486816,-0.05314190313220024
157,39,1264,-0.000348567113861975,0.009665814228355885,-2.095754384994507,-0.043468572199344635
158,39,1272,4.05961112676323e-05,0.022959095239639283,-2.411668062210083,-0.04143405333161354
159,39,1280,3.346857033648121e-06,0.017822741344571114,-2.3864083290100098,-0.04901964217424393
160,40,1288,-0.00045490205632177095,0.008976195566356182,-2.5158398151397705,-0.04281053692102432
161,40,1296,-0.00047550415126664804,0.010968106798827648,-1.8086225986480713,-0.04853140935301781
162,40,1304,8.466704707599248e-06,0.006564839836210012,-1.6074116230010986,-0.046388812363147736
